Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-12-02,4.485,4.888,4.485,4.799,4.799,616,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-05,4.8,4.8,4.713,4.682,4.682,186,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-06,5.375,5.375,5.13218,5.33375,5.33375,1,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-07,5.57,5.57,5.57,5.57,5.57,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-08,4.956,4.99,4.66,4.697,4.697,300,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-09,4.31,4.31,4.073,4.0505,4.0505,1176,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-12,4.4,4.4,4.299,4.3115,4.3115,7250,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-13,3.972,4.6321,3.24,3.5135,3.5135,45480,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-14,3.623,3.636,3.582,3.631,3.631,6186,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-15,4.072,4.453,4.01,4.3695,4.3695,12877,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-16,4.459,4.637,4.459,4.6305,4.6305,3645,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-19,4.572,4.952,4.539,4.8095,4.8095,9895,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-20,5.07,5.255,3.23138,5.09875,5.09875,11825,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-21,4.862,5.0125,4.62,4.62,4.62,3807,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-22,4.668,5.69,4.668,5.6725,5.6725,2657,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-23,5.5325,5.7775,5.5325,5.68,5.68,1715,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-28,6.7325,7.4,6.7325,7.15125,7.15125,7092,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-29,6.91,6.91,6.3225,6.3425,6.3425,9960,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-30,6.515,6.6375,6.3225,6.48875,6.48875,2261,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-03,5.865,7.00576,5.7525,6.805,6.805,16326,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-04,6.975,6.975,6.1,6.2575,6.2575,3575,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-05,6.3975,6.6775,6.32,6.7,6.7,3034,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-06,6.71,6.8425,6.3225,6.1825,6.1825,4174,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-09,5.775,5.775,4.536,4.489,4.489,7470,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-10,4.993,6.17627,4.716,4.894,4.894,12338,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-11,4.627,4.76,4.627,4.76,4.76,1452,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-12,4.63,5.0325,4.351,4.696,4.696,26939,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-13,4.195,4.358,3.975,4.068,4.068,4794,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-16,3.888,3.949,3.888,3.949,3.949,653,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-17,3.9,4.57279,3.37,3.547,3.547,15461,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-18,3.265,3.453,3.206,3.453,3.453,2613,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-19,3.605,3.83,3.546,3.775,3.775,26345,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-20,3.747,3.752,3.746,3.5215,3.5215,3529,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-23,3.026,3.074,2.528,2.528,2.528,4316,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
